,CDS-GK96,CDS-WAF02,CDS-Lam-Congest
100,76.58,55.56,47.27
200,116.76,76.24,56.76
300,141.74,92.18,60.1
400,156.36,98.7,63.3
500,172.5,111.04,62.28
600,197.72,119.72,68.48
700,223.9,136.42,73.84
800,234.7,137.72,74.68
900,251.88,142.58,76.17
1000,271.06,153.92,77.0
1100,270.48,162.72,79.02
1200,298.78,164.78,79.1
1300,308.1,171.42,81.15
1400,327.38,170.8,79.59
1500,324.62,188.6,82.82
1600,325.6,186.96,81.86
1700,337.64,183.78,84.03
1800,356.34,197.3,87.14
1900,386.57,198.24,83.57
2000,373.1,209.78,88.91
