,CDS-Simple-Lam,CDS-GK96,CDS-WAF02,CDS-Lam-Congest
100,56.86,35.94,33.82,36.5
200,114.9,71.1,67.2,71.74
300,178.82,107.52,103.16,108.38
400,238.6,136.66,131.7,137.18
500,289.06,162.84,159.28,163.6
600,356.66,201.66,199.08,202.16
700,415.92,236.34,234.1,236.98
800,480.14,268.42,264.68,269.06
900,538.0,295.36,293.36,296.1
1000,601.6,331.82,329.2,332.46
1100,660.78,361.92,359.12,362.24
1200,720.78,392.54,388.62,393.16
1300,773.82,411.78,411.82,412.56
1400,834.76,444.72,444.74,445.38
1500,892.5,475.04,472.28,475.96
1600,940.2,493.0,491.96,493.78
1700,1009.44,524.62,526.24,523.24
1800,1072.48,565.08,566.04,565.58
1900,1139.78,595.53,598.34,596.15
2000,1201.94,640.18,640.4,640.82
