,CDS-Simple-Lam,CDS-GK96,CDS-WAF02,CDS-Lam-Congest
100,34.34,140.2,140.0,133.9
200,65.42,401.46,416.0,391.24
300,98.12,846.04,726.0,510.7
400,129.1,1049.3,1112.0,666.92
500,161.5,1662.1,1610.0,896.24
600,191.22,2027.44,1980.0,1245.92
700,223.96,3005.5,2492.0,1506.56
800,253.76,3314.6,2864.0,1698.4
900,288.42,3906.2,3582.0,2023.76
1000,324.3,5199.4,3880.0,2097.36
1100,355.8,5099.14,4642.0,2589.48
1200,387.72,5561.28,5112.0,2916.94
1300,419.68,6445.38,6032.0,3849.22
1400,450.92,7955.14,6496.0,3559.24
1500,478.62,9000.28,7440.0,3581.42
1600,517.86,8216.5,8064.0,3437.72
1700,546.28,12850.94,8126.0,4140.47
1800,582.22,13435.4,9648.0,4227.14
1900,611.96,16107.18,10602.0,4400.36
2000,648.28,15969.66,11640.0,5027.12
